ID,Coordinates,500,1000,1500,2000,2500,500,1000,1500,2000,2500,500,1000,1500,2000,2500,50,100,150,200,250,500,1000,1500,2000,2500
1,"40.8682, -73.859",2,3,6,9,16,1027,4737,7997,14662,27965,2.3869,7.89286,19.7083,37.75,67.5119,0,0,0,0,0,96,172,575,1067,1696
2,"40.6585, -73.8909",3,6,8,11,23,1249,6803,14653,27432,38117,2.84524,9.38095,21.2679,46.8512,100.798,8,13,18,18,18,28,202,657,1574,3999
3,"40.6657, -73.8842",1,3,8,17,23,457,3195,11313,30155,41077,2.96429,14.0417,38.5833,79.7321,120.018,2,18,6,23,24,35,217,1862,2658,3415
4,"40.6544, -73.9068",1,2,16,21,30,1522,7002,13165,21596,32028,2.9881,9.80357,25.4583,59.6012,119.589,0,0,6,27,111,138,565,1126,1563,2011
5,"40.6576, -73.893",3,6,9,11,23,1167,7386,14996,26794,37497,3.16071,9.07738,21.4405,43.5,101.673,0,1,0,10,17,25,236,758,1504,2569
6,"40.8777, -73.8676",2,2,4,5,14,1090,2922,7589,13410,21038,3.17262,8.89286,24.5238,41.9702,63.7143,0,0,16,17,18,43,239,746,1120,1799
7,"40.6591, -73.8911",3,6,8,12,25,1149,5821,14612,28079,38547,3.2619,9.79167,23.8095,50.4643,108.065,1,13,8,18,18,27,124,680,1583,4014
8,"40.6493, -73.9435",1,4,9,16,34,271,2982,7228,12065,19466,3.35119,17.3036,58.8393,189,372.774,0,1,0,0,1,43,534,782,1700,2665
9,"40.8776, -73.8674",2,2,4,5,14,1109,2940,7570,13194,20995,3.41071,8.43452,24.4464,41.5833,63.6726,0,3,16,17,18,43,239,742,1135,1801
10,"40.8655, -73.862",3,4,7,10,14,1214,4076,7738,15600,30929,3.5119,12.5,26.1071,51.8155,86.2024,2,8,22,23,23,96,258,672,1026,1821
11,"40.6494, -73.9523",3,6,7,18,28,1380,4112,6230,10263,14590,3.58929,43.1488,125.274,266.488,440.131,0,7,2,5,251,308,731,1130,2087,3177
12,"40.8854, -73.9005",3,4,5,8,12,1901,6000,11649,18783,23593,3.76786,23.3452,55.7262,100.411,153.107,0,0,23,26,32,147,463,844,1357,1995
13,"40.6525, -73.9224",2,6,17,20,27,484,2802,9550,17988,27220,3.98214,15.881,41.8036,90.1667,166.238,0,0,2,3,6,9,97,470,1445,2600
14,"40.6757, -73.8661",2,4,9,14,17,1329,4896,11138,21728,29032,4.03571,15.1726,34.5655,63.9405,99.3095,2,5,6,8,9,452,1676,1890,2155,2434
15,"40.8847, -73.9009",3,5,5,9,11,2303,6078,12232,19151,23892,4.64286,31.9405,59.9524,107.446,167.28,6,19,32,32,33,80,514,886,1465,2147
16,"40.6854, -73.882",1,5,9,17,22,204,2325,4580,10787,20103,4.77381,31.4048,61.0714,152.81,306.446,0,2,19,19,19,60,167,423,2364,2669
17,"40.6541, -73.9214",2,7,16,21,27,508,2180,10207,18256,26756,5.375,19,49.7381,99.6071,185.929,2,10,3,3,5,12,189,672,1397,2687
18,"40.6764, -73.8681",3,5,10,15,18,1246,4405,10562,20013,28919,5.38095,18.619,40.7024,70.381,110.78,0,3,3,6,14,1543,1706,1866,2242,2471
19,"40.8628, -73.8659",3,4,7,10,16,1670,3618,8066,17251,30148,5.91667,16.8929,35.6071,65.506,124.577,0,9,1,1,3,26,467,720,1236,2150
20,"40.8265, -73.8584",2,3,7,14,19,4446,10234,20267,37912,53375,6,42.3988,86.8333,129.256,216.548,0,3,37,158,163,193,654,905,1210,1531
21,"40.6478, -73.9713",3,7,15,20,27,517,1575,4847,7566,11959,6.2619,40.9345,117.387,288.768,516.601,3,0,5,20,26,69,493,1123,2226,3530
22,"40.6547, -73.9307",1,5,10,19,29,930,3283,5937,14343,24245,6.70238,27.6429,71.6964,162.214,315.244,0,7,5,5,5,16,85,537,1501,2288
23,"40.6884, -73.8759",2,5,9,14,22,485,1835,4006,8861,17883,6.89881,23.4524,61.1964,151.238,268.667,0,29,2,2,3,11,125,276,2140,2530
24,"40.6886, -73.8754",2,4,9,14,22,485,1816,4037,8857,17548,6.96429,23.8452,60.2024,150.631,267.81,0,0,2,2,4,11,123,268,2140,2519
25,"40.6679, -73.9064",1,2,10,21,34,1731,7101,12575,19982,29669,7,38.9464,115.577,213.292,358.756,0,2,2,6,77,219,541,1221,1679,2377
26,"40.685, -73.8598",1,4,9,16,17,682,2783,6456,14423,25744,7.06548,26.4464,51.4048,68.4524,111.065,0,2,1,2,4,8,127,349,2010,2385
27,"40.6779, -73.8719",2,6,11,15,18,926,4144,8655,18103,27559,7.14881,23.3155,49.6369,84.2619,124.452,1,13,3,11,12,259,1776,1910,2162,2557
28,"40.6798, -73.8782",2,8,11,16,21,1352,3478,6689,13509,26576,7.38095,29.6845,62.3036,101.881,174.137,12,5,15,16,17,34,1727,2026,2218,2663
29,"40.8575, -73.8817",2,3,7,11,20,1659,6126,11899,19720,33567,7.72024,26.7381,87.8155,202.393,314.464,7,2,21,23,33,140,460,1114,1828,2410
30,"40.8519, -73.8683",1,2,10,17,20,1619,3721,11585,21265,37703,8.17857,30.9643,67.25,128.167,214.179,0,11,6,13,14,132,285,818,1479,2471
31,"40.6793, -73.88",2,6,12,17,22,1384,3563,6832,14535,27194,8.19643,32.1012,66.9405,105.262,184.488,2,1,4,14,16,48,619,2029,2403,2721
32,"40.6829, -73.8673",1,8,12,13,21,380,3466,7109,12034,25380,8.375,29.5417,54.2381,82.2024,134.173,0,5,0,0,0,28,216,1847,2057,2464
33,"40.8583, -73.8848",2,3,6,10,18,2007,6794,11702,20485,32856,8.6369,35.9405,102.637,202.327,330.577,4,0,17,27,34,175,473,1249,1799,2410
34,"40.8593, -73.8675",2,4,8,10,17,952,4164,8148,18760,32806,8.82143,21.0476,38.881,81.5833,164.113,1,15,7,9,72,115,399,806,1385,2159
35,"40.826, -73.8619",2,3,8,14,18,4359,9802,16940,39449,57648,8.96429,61.869,100.786,171.732,256.304,1,4,17,19,24,190,600,928,1217,1605
36,"40.8485, -73.8834",1,1,9,18,25,2003,5728,15822,23437,32767,9.11905,46.4345,130.542,246.655,441.012,1,3,20,20,21,95,294,725,1454,2402
37,"40.882, -73.9026",3,5,6,7,13,2370,7737,14493,19898,25300,9.33929,37.8333,79.6786,129.619,228.185,0,7,2,9,17,67,539,900,1597,2543
38,"40.65, -73.9558",3,4,13,17,28,2022,3962,6115,9537,15072,9.41667,64.5357,149.679,292.286,537.417,0,0,1,1,17,154,836,1346,1913,3507
39,"40.8411, -73.8643",2,9,11,16,24,2287,6044,12904,26667,50177,9.5,60.3393,104.262,181.94,263.56,2,0,17,23,42,130,612,1036,1701,2191
40,"40.8693, -73.9075",1,3,10,14,17,3158,7330,15102,22726,31873,9.69048,93.2024,208.512,366.845,545.774,0,4,1,3,8,153,684,1591,2492,3434
41,"40.6487, -73.9715",2,7,14,20,27,519,1504,4748,7524,12651,9.77976,49.4048,135.863,315.738,578.196,1,6,6,10,12,94,406,1094,2198,3487
